id,question,answer_text,context,source,domain,split,question_type,no_of_hops,reasoning_type,span_start,span_end,evidence_relations
Novel-d168a555,"Compose a news article summarizing the agricultural practices in Jereed, the role of the Moors, and the historical significance of the region.","Jereed, renowned for its extensive palm groves, remains a vital agricultural center in North Africa. The Moors, under the leadership of Sidi Abdallah Deleero, continue to cultivate palm, a practice dating back to the region’s period under Roman rule. The area is also notable for its Jewish and Berber populations, with historical ties to Tunis and Fez. Recent visits by travelers such as Captain Balfour and Mr. Reade have highlighted Jereed’s enduring importance.",Jereed is renowned for its extensive palm groves. Jereed is a vital agricultural center in North Africa. The Moors are led by Sidi Abdallah Deleero. The Moors cultivate palm in Jereed. The practice of cultivating palm dates back to Roman rule. Jereed has Jewish and Berber populations. Jereed has historical ties to Tunis. Jereed has historical ties to Fez. Travelers such as Captain Balfour and Mr. Reade have visited Jereed. Recent visits have highlighted Jereed's enduring importance.,Novel-10356,novel,train,Creative Generation,1,Generative,-1,-1,
Novel-d33c7c47,"During the events of the Sioux outbreak described in the novel, who was the commanding officer of Company B of the Fifth regiment that was sent to respond to the initial hostilities at the upper agency?",Capt. Marsh commanded Company B of the Fifth regiment.,Capt. Marsh commanded Company B of the Fifth regiment. Company B of the Fifth regiment was sent to respond to initial hostilities at the upper agency.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,54,
Novel-cbf3a899,"Within the historical account of the St. Paul fire department, which fire company, originally an active participant, was eventually replaced by St. Paul Hose Company No. 1?",Hope Engine Company No. 1 participated in the St. Paul fire department and was replaced by St. Paul Hose Company No. 1.,Hope Engine Company No. 1 participated in the St. Paul fire department. Hope Engine Company No. 1 was replaced by St. Paul Hose Company No. 1.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-5847f72a,"When the town of Corinth was being pursued by the rebel forces during the Civil War as described in the narrative, what action did it take in response to the threat?",Corinth retreated from the rebels.,Corinth retreated from the rebels during the Civil War.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-b96942cc,"In the context of the Civil War events surrounding Pittsburg Landing, how is the location of Pittsburg described in relation to Crump's Landing?",Pittsburg is near Crump's Landing.,Pittsburg is near Crump's Landing.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-f7f1757f,"During the period of unrest in Kentucky and Ohio described in the narrative, who was the leader of the marauding forces operating in Ohio?",Morgan led marauders in Ohio.,Morgan led marauders in Ohio during the period of unrest.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-c1efee91,To which location was Capt. Shelly ordered to provide relief during the Civil War events recounted in the novel?,Capt. Shelly was ordered to the relief of Fort Donelson.,Capt. Shelly was ordered to provide relief during the Civil War. Capt. Shelly was ordered to the relief of Fort Donelson.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,65,121,
Novel-1d1d9414,"Who was responsible for constructing the Winslow House, one of the significant hotels mentioned during St. Paul's early history in the novel?",J.M. Winslow constructed the Winslow House.,J.M. Winslow constructed the Winslow House. The Winslow House is one of the significant hotels mentioned during St. Paul's early history.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,43,
Novel-0a4ab9d6,"According to the biographical details provided in the narrative, what was the familial relationship between Lafayette S. Emmett and Dan Emmet, two notable figures mentioned in the story?",Lafayette S. Emmett was a brother of Dan Emmet.,Lafayette S. Emmett was a brother of Dan Emmet.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,47,
Novel-d6553e21,"During the elaborate parade celebrating the successful laying of the Atlantic cable in St. Paul, which individual represented George Washington as part of the procession?",Col. R.E.J. Miles represented George Washington during the parade.,Col. R.E.J. Miles represented George Washington during the parade.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,66,
Novel-81fe9edb,"In the historical events described, which prominent political figure made the International hotel in St. Paul his headquarters during his visit?",The International hotel was made headquarters by William H. Seward.,William H. Seward made the International hotel his headquarters during his visit.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-f059dea2,"At which intersection in St. Paul was the International hotel, a significant site during the events described, located?",The International hotel was located on Seventh and Jackson streets.,The International hotel was located on Seventh and Jackson streets.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,67,
Novel-fcf0f880,"During the parade in which Col. R.E.J. Miles portrayed George Washington, who accompanied him in the line of march?",Miss Emily Dow was in the line of march with Col. R.E.J. Miles.,Miss Emily Dow was in the line of march with Col. R.E.J. Miles.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,63,
Novel-942fc620,"During the grand parade held in St. Paul to celebrate the Atlantic cable, who took on the role of Martha Washington?",Miss Emily Dow represented Martha Washington during the parade.,Miss Emily Dow represented Martha Washington during the parade.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,63,
Novel-574362f8,"Where in St. Paul was the Windsor hotel situated, according to the narrative's account of city landmarks?",The Windsor hotel was located at the intersection of Fifth street and St. Peter street.,The Windsor hotel was located at the intersection of Fifth street and St. Peter street.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,87,
Novel-061d8a5d,"Who was the individual responsible for building the Carpenter house, one of the notable hotels mentioned in the novel's history of St. Paul?",The Carpenter house was built by Warren Carpenter.,The Carpenter house was built by Warren Carpenter.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,50,
Novel-968bc9b0,"According to the descriptions of St. Paul's historic hotels, who served as the proprietor of the Greenman house?",Mr. Greenman kept the Greenman house.,Mr. Greenman kept the Greenman house.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,37,
Novel-667a422d,"Who constructed the Rice house, recognized as one of the first brick buildings and principal hotels in early St. Paul?",Henry M. Rice constructed the Rice house.,Henry M. Rice constructed the Rice house.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,41,
Novel-8ecbbc64,"By what means did St. Paul merchants receive their goods during the era when steamboat transportation was unavailable in the winter months, as described in the historical account?",St. Paul received goods by Burbank's express.,St. Paul received goods by Burbank's express.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,45,
Novel-a316de2b,"During the turbulent period described in the narrative, which European country was preparing to launch an invasion of Mexico?",France was preparing to invade Mexico.,France was preparing to invade Mexico.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,38,
Novel-8dc2b8ae,"What was the name of one of the hotels located in St. Paul during its early history, as referenced in the novel?",St. Paul had the Sintominie hotel.,St. Paul had the Sintominie hotel.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-c32bf962,"Upon arriving with a hand press and type to start the territory's first newspaper, in which city did James M. Goodhue settle according to the narrative?",James M. Goodhue arrived in St. Paul.,James M. Goodhue arrived in St. Paul.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,37,
Novel-1e5c8043,"During the political events narrated, in which city did State Senator W.H. Seward deliver a significant speech to local residents?",State Senator W.H. Seward made a speech in St. Paul.,State Senator W.H. Seward made a speech in St. Paul.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,52,
Novel-785a85b8,Who was the Senator mentioned in the narrative as visiting St. Paul as part of a group of Republican statesmen and politicians?,Senator Nye visited St. Paul.,Senator Nye visited St. Paul.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,29,
Novel-e21933a7,"In which city was the Daily Minnesotian newspaper based, serving as one of the main newspapers during the historical events described in the novel?",The Daily Minnesotian was located in St. Paul.,The Daily Minnesotian was located in St. Paul.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,46,
Novel-cf92674c,What is the name of the avenue in St. Paul that is mentioned among the city's notable streets in the historical narrative?,St. Paul had Marshall avenue.,St. Paul had Marshall avenue.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,29,
Novel-6b1a0d52,"Who organized Brackett's battalion, a military unit referenced in the Civil War section of the narrative?",Capt. E.Y. Shelly organized Brackett's battalion.,Capt. E.Y. Shelly organized Brackett's battalion.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,49,
Novel-57794d1f,"On which street in St. Paul was the Concert Hall building, a significant venue for public gatherings and performances, located?",The Concert Hall building was on Third street.,The Concert Hall building was on Third street.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,46,
Novel-bfecbf96,"In which city was the Minnehaha Engine Company, one of the key volunteer fire organizations, based according to the historical account?",Minnehaha Engine Company was in St. Paul.,Minnehaha Engine Company was in St. Paul.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,41,
Novel-a8a15d1c,Who held the command of the Department of the Cumberland during the Civil War campaigns as detailed in the narrative?,Gen. W.T. Sherman commanded the Department of the Cumberland.,Gen. W.T. Sherman commanded the Department of the Cumberland during the Civil War campaigns.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-f0ffe14a,"According to the historical recounting of military leadership conflicts, who gave the order for the arrest of Gen. Grant during the Civil War?",Gen. McClellan ordered the arrest of Gen. Grant.,Gen. McClellan ordered the arrest of Gen. Grant during the Civil War.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-d7f0ce35,"What sentiments did the Hutchinson family express in their songs to the Army of the Potomac, leading to their expulsion as described in the narrative?",The Hutchinson family expressed abolition sentiments in songs to the Army of the Potomac.,The Hutchinson family expressed abolition sentiments in their songs. The Hutchinson family sang to the Army of the Potomac.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-cb5dbe64,"During the Civil War battles described, which general joined forces with Gen. Grant to strengthen the Union army?",Gen. Buell joined with Gen. Grant.,Gen. Buell joined forces with Gen. Grant. Gen. Buell strengthened the Union army.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-bd3231a3,"Following the wounding of Capt. Munch during the Battle of Pittsburg Landing, who assumed command of the First Minnesota battery as recounted in the novel?",Lieut. Pfaender took command of the First Minnesota battery.,Lieut. Pfaender took command of the First Minnesota battery after Capt. Munch was wounded.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-70de414c,"From which location was Gen. Grant preparing to depart before being convinced to remain by Gen. Sherman, according to the account of post-battle events?",Gen. Grant was about to depart from Pittsburg Landing.,Gen. Grant was about to depart from Pittsburg Landing. Gen. Sherman convinced Gen. Grant to remain at Pittsburg Landing.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,54,
Novel-6510c47b,"During the second day of the Battle of Pittsburg Landing, which group began to show signs of wanting to withdraw from the confrontation with Union forces?",The enemy began to evince a desire to withdraw from the Union.,The enemy began to show signs of wanting to withdraw from the confrontation with Union forces on the second day of the Battle of Pittsburg Landing.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-a8be7477,"From what source did Gen. Grant learn the full extent of the accusations made against him during his military service, as later revealed in historical research?",Gen. Grant learned the full extent of the accusations against him from Gen. Badeau's research in the war department archives.,Gen. Grant learned the full extent of the accusations against him from Gen. Badeau's research. Gen. Badeau's research was conducted in the war department archives.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-a920039e,From which strategic location did Gen. Albert Sidney Johnston withdraw Confederate troops during the Civil War campaigns recounted in the narrative?,Gen. Albert Sidney Johnston withdrew troops from Bowling Green.,Gen. Albert Sidney Johnston withdrew Confederate troops from Bowling Green.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-3bcf09db,What type of contributions did John W. Sickels make to the Times newspaper during the coverage of the Sioux and Chippewa conflict described in the novel?,John W. Sickels furnished reports to the Times.,John W. Sickels furnished reports to the Times during the coverage of the Sioux and Chippewa conflict.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-10ab7b6f,"Which editor is described as having opposed the Five Million Loan Election, a major political issue in Minnesota's history as presented in the narrative?",Dr. Thomas Foster opposed the Five Million Loan Election.,Dr. Thomas Foster opposed the Five Million Loan Election.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,57,
Novel-c579da71,"According to the account of St. Paul's early newspapers, who served as editor of the Pioneer during its influential years?",Louis E. Fisher was the editor of the Pioneer.,Louis E. Fisher was the editor of the Pioneer.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,46,
Novel-077d32f8,"Of which newspaper was E.S. Lightbourn the foreman, as described in the narrative's discussion of prominent printers?",E.S. Lightbourn was foreman of the Pioneer.,E.S. Lightbourn was foreman of the Pioneer.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,43,
Novel-fd699d82,"Who was recognized as a star performer at the People's theater in St. Paul, according to the city's early theatrical history?",Col. R.E.J. Miles was a star at the People's theater.,Col. R.E.J. Miles was a star at the People's theater.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,53,
Novel-362dbef2,"Which actress was a member of the stock company at the People's theater, as outlined in the narrative detailing St. Paul's theatrical scene?",Emily Dow was a member of the stock company at the People's theater.,Emily Dow was a member of the stock company at the People's theater.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,68,
Novel-10ec133f,"Where, within the context of St. Paul's newspaper industry, was William Jebb known as one of the readiest debaters?",William Jebb was one of the readiest debaters in the Pioneer composing room.,William Jebb was one of the readiest debaters in the Pioneer composing room.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,76,
Novel-11a4f086,At which location in St. Paul was the St. Paul Press newspaper situated during its publication as described in the narrative?,The St. Paul Press was located at Bridge Square.,The St. Paul Press was located at Bridge Square.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,48,
Novel-d65bea45,"Who is identified as the first editor of the Minnesotian, one of St. Paul's earliest newspapers, in the historical account provided?",John P. Owens was the first editor of the Minnesotian.,John P. Owens was the first editor of the Minnesotian.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,54,
Novel-15cb0c88,"During the American Civil War, in which regiment did Capt. Coates serve as an officer according to the military histories recounted in the novel?",Capt. Coates served as an officer in the First regiment of Minnesota volunteers during the Civil War.,Capt. Coates served as an officer in the First regiment of Minnesota volunteers during the Civil War.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,101,
Novel-9491e7f0,"Who held the position of secretary for the Ladies Aid Society, as mentioned in the narrative's account of volunteer organizations during the Civil War?",Miss M.O. Holyoke served as the secretary of the Ladies Aid Society.,Miss M.O. Holyoke served as the secretary of the Ladies Aid Society.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,68,
Novel-8089ca4d,"To which Native American tribe did Other Day, the guide who led refugees to safety during the Sioux outbreak, belong?",Other Day belonged to the Dakota tribe.,Other Day belonged to the Dakota tribe.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,39,
Novel-c2a1261d,"During the Sioux outbreak, who guided a group of men, women, and children to safety in Kandiyohi, as described in the novel?",Other Day piloted a group to Kandiyohi during the Sioux outbreak.,"Other Day guided a group to Kandiyohi. The group included men, women, and children. This event occurred during the Sioux outbreak.",Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-a55b2f6f,"Who served as president of the Ladies Aid Society, the organization devoted to supporting wounded soldiers and refugees during the Civil War as recounted in the narrative?",Mrs. Stella Selby was the president of the Ladies Aid Society.,Mrs. Stella Selby was the president of the Ladies Aid Society.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,62,
Novel-40920b4a,"In which county was Jackson lynched, prompting the intervention of the governor and the deployment of the Pioneer Guards as described in the early history of Minnesota?",Jackson was lynched in Wright county.,Jackson was lynched in Wright county.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,37,
Novel-dc742cf1,"According to his own account at a public meeting after guiding refugees to safety, by whom was Other Day instructed during his formative years?",Other Day was instructed by Americans.,Other Day was instructed by Americans during his formative years.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-bc484b0f,"During the Civil War movements of the Second Minnesota regiment, at what city did they arrive before being redirected as part of their military campaign?",The Second Minnesota regiment arrived at Louisville.,The Second Minnesota regiment arrived at Louisville.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,52,
Novel-722180f4,"During the historical events involving treaties with Native Americans, from which group did the United States acquire land as described in the narrative?",The United States acquired land from the Sioux.,The United States acquired land from the Sioux.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,47,
Novel-2724a04e,Against which group were the Sioux described as being rebellious during the conflict detailed in the account of the 1862 outbreak?,The Sioux were rebellious against whites.,The Sioux were rebellious against whites.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,41,
Novel-878b6eb6,"Who led a direct charge against the Sioux during the defense of New Ulm, as described in the events of the Sioux outbreak?",Judge Charles E. Flandrau led a charge against the Sioux.,Judge Charles E. Flandrau led a charge against the Sioux.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,57,
Novel-43f2a7a9,What was the role of Maj. Joseph R. Brown in relation to the St. Paul military organizations during the campaign to relieve settlers after the Sioux uprising?,Maj. Joseph R. Brown commanded the St. Paul organizations.,Maj. Joseph R. Brown commanded the St. Paul organizations.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,58,
Novel-8765f7a6,Who was in command of the First division during the Union military operations described in the narrative's account of the Civil War?,Gen. George H. Thomas was the commander of the First division.,Gen. George H. Thomas was the commander of the First division.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,62,
Novel-075e66bd,"Who influenced the sale of a strip of land involving the Sioux, leading to internal division among the tribe as described in the novel?",Little Crow influenced the sale of a strip of land involving the Sioux.,Little Crow influenced the sale of a strip of land involving the Sioux.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,0,71,
Novel-a39f95c7,"Which company was included as part of the St. Paul organizations sent to bury the dead and rescue wounded after the Sioux attacks, according to the narrative?",The St. Paul organizations included Company A as part of their group.,Company A was included as part of the St. Paul organizations.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-c227f2f2,"Who are identified as members of the Minnehaha Engine Company, a key volunteer fire organization in St. Paul's early history?","The members of the Minnehaha Engine Company include Alfred Bayace, William T. Donaldson, John B. Oliver, C.D. Hadway, John McCauley, H.A. Schlick, Nicholas Hendy, F.A. Cariveau, L.R. Storing, N. W. Kittson, Daniel Rohrer, N. Nicuhaus, and Harry M. Shaw.",The members of the Minnehaha Engine Company include Alfred Bayace. The members of the Minnehaha Engine Company include William T. Donaldson. The members of the Minnehaha Engine Company include John B. Oliver. The members of the Minnehaha Engine Company include C.D. Hadway. The members of the Minnehaha Engine Company include John McCauley. The members of the Minnehaha Engine Company include H.A. Schlick. The members of the Minnehaha Engine Company include Nicholas Hendy. The members of the Minnehaha Engine Company include F.A. Cariveau. The members of the Minnehaha Engine Company include L.R. Storing. The members of the Minnehaha Engine Company include N. W. Kittson. The members of the Minnehaha Engine Company include Daniel Rohrer. The members of the Minnehaha Engine Company include N. Nicuhaus. The members of the Minnehaha Engine Company include Harry M. Shaw.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-b6fa3a02,Is William T. Donaldson listed as a member of the Minnehaha Engine Company according to the historical roster provided in the narrative?,"Yes, William T. Donaldson is a member of the Minnehaha Engine Company.",William T. Donaldson is a member of the Minnehaha Engine Company.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-5db82bf8,"Does the membership list of the Minnehaha Engine Company, as detailed in the early history of St. Paul's fire department, include Harry M. Shaw?","Yes, Harry M. Shaw is a member of the Minnehaha Engine Company.",Harry M. Shaw is a member of the Minnehaha Engine Company.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-0103d518,"Within the narrative of the early St. Paul fire department, which individuals from the Minnehaha Engine Company served specifically as assistants to Terwilliger during his tenure as foreman?","The following members of the Minnehaha Engine Company were assistants to Terwilliger: Harry M. Shaw, William T. Donaldson, Alfred Bayace, John B. Oliver, C.D. Hadway, John McCauley, Nicholas Hendy, H.A. Schlick, F.A. Cariveau, L.R. Storing, N. W. Kittson, Daniel Rohrer, and N. Nicuhaus.",Harry M. Shaw was an assistant to Terwilliger. William T. Donaldson was an assistant to Terwilliger. Alfred Bayace was an assistant to Terwilliger. John B. Oliver was an assistant to Terwilliger. C.D. Hadway was an assistant to Terwilliger. John McCauley was an assistant to Terwilliger. Nicholas Hendy was an assistant to Terwilliger. H.A. Schlick was an assistant to Terwilliger. F.A. Cariveau was an assistant to Terwilliger. L.R. Storing was an assistant to Terwilliger. N. W. Kittson was an assistant to Terwilliger. Daniel Rohrer was an assistant to Terwilliger. N. Nicuhaus was an assistant to Terwilliger.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-ad078f77,"In the historical account of the Minnehaha Engine Company, were all of its members also designated as assistants to Terwilliger, the foreman of the company?",All members of the Minnehaha Engine Company are assistants to Terwilliger.,All members of the Minnehaha Engine Company are assistants to Terwilliger.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,0,74,
Novel-b3fece20,"During the Civil War, what circumstances led the Second Minnesota Regiment, as part of the Union forces, to engage in battle against the Sixteenth Alabama Regiment?",The Second Minnesota fought against the Sixteenth Alabama because the Second Minnesota was part of the Union forces.,The Second Minnesota fought against the Sixteenth Alabama. The Second Minnesota was part of the Union forces.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-0093e2ec,"In the context of the military operations during the Sioux Uprising, what was Maj. Joseph R. Brown's leadership role in relation to Company A, and how was this company associated with the St. Paul organizations?","Maj. Joseph R. Brown commanded Company A, which was part of the St. Paul organizations.",Maj. Joseph R. Brown commanded Company A. Company A was part of the St. Paul organizations.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-65f00413,"How did the Second Minnesota Regiment become associated with Gen. George H. Thomas, particularly in terms of regimental leadership and divisional command during the Civil War?","The Second Minnesota Regiment was led by Gen. George H. Thomas, who also commanded the First Division, which included the Second Minnesota.",The Second Minnesota Regiment was led by Gen. George H. Thomas. Gen. George H. Thomas commanded the First Division. The First Division included the Second Minnesota Regiment.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-cfdb85ba,"According to the narrative describing the events surrounding the Sioux Uprising, how did the Chippewas interact with the Sioux, and what role did their chief, Hole-in-the-Day, play in communications or alliances between the two groups?","The Chippewas would come to the assistance of the Sioux and were in communication with them through their chief, Hole-in-the-Day.",The Chippewas assisted the Sioux. The Chippewas were in communication with the Sioux. Hole-in-the-Day was the chief of the Chippewas.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-727f425f,"After their notable actions during the Civil War, for what reason was the Second Minnesota Regiment sent to Washington, and how did President Lincoln recognize their service?",The Second Minnesota was sent to Washington after being congratulated by President Lincoln for their actions.,The Second Minnesota Regiment was sent to Washington. President Lincoln congratulated the Second Minnesota Regiment for their actions.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-9b9b7f4a,"What was the outcome of the military expedition that encountered the Sioux in the Dakotas, particularly in relation to the Sioux's rebellious stance toward Gen. Sibley?","The expedition encountered the Sioux in the Dakotas, where the Sioux were rebellious against Gen. Sibley.",The military expedition encountered the Sioux in the Dakotas. The Sioux were rebellious against Gen. Sibley.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-72cfd9c6,"How did the United States acquire land from the Sioux tribe, and what influence did the Dakota leader Little Crow have in facilitating the sale of a strip of land from the Sioux to the government?","The United States gained land from the Sioux after the government, influenced by Little Crow, arranged for the sale of a strip of land from the Sioux.",The United States gained land from the Sioux. Little Crow influenced the government to arrange for the sale of land from the Sioux.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-d3dfaf75,"What is the connection between the Greenman house, Mr. Greenman, and St. Peter street?",The Greenman house was kept by Mr. Greenman and was on St. Peter street.,The Greenman house was kept by Mr. Greenman. The Greenman house was located on St. Peter street.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-e3da3cd7,What actions did Samuel Mayall take regarding the Fuller house?,Samuel Mayall changed the name of the Fuller house and came into possession of the Fuller house.,Samuel Mayall changed the name of the Fuller house. Samuel Mayall came into possession of the Fuller house.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-9db4f113,"What was Dr. Thomas Foster's position on the Five Million Loan Election, and how did this relate to the Minnesotian's editorial stance?","Dr. Thomas Foster opposed the Five Million Loan Election, and the Minnesotian also opposed the passage of the amendment related to it.",Dr. Thomas Foster opposed the Five Million Loan Election. The Minnesotian opposed the passage of the amendment related to the Five Million Loan Election.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-395b9708,What was Earle S. Goodrich's involvement with the Pioneer and the Minnesotian?,Earle S. Goodrich was the editor of the Pioneer and made preparations to perpetrate a joke on the Minnesotian.,Earle S. Goodrich was the editor of the Pioneer. Earle S. Goodrich made preparations to perpetrate a joke on the Minnesotian.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-7718481e,Who were some of the members of the stock company at the People's theater?,"Emily Dow, Harry Gossan, and Azelene Allen were members of the stock company at the People's theater.",Emily Dow was a member of the stock company at the People's theater. Harry Gossan was a member of the stock company at the People's theater. Azelene Allen was a member of the stock company at the People's theater.,Novel-10146,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-c6a7964c,What was the professional relationship between George W. Moore and Dr. Foster in relation to the Minnesotian newspaper?,George W. Moore was associated with Dr. Foster and sold his interest in the Minnesotian.,George W. Moore was associated with Dr. Foster. George W. Moore sold his interest in the Minnesotian.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-803f66d8,"What was Dan Emmet's involvement with Bryant's Minstrels, and what notable song did he write?",Dan Emmet was connected with Bryant's Minstrels and wrote 'Dixie.',Dan Emmet was connected with Bryant's Minstrels. Dan Emmet wrote the song 'Dixie.',Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-819d9c6c,What was Gen. Stewart L. Woodford's involvement with the city of St. Paul?,Gen. Stewart L. Woodford visited St. Paul.,Gen. Stewart L. Woodford visited St. Paul.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,0,42,
Novel-ac781c3a,How did the Sioux interact with Gen. Sibley's command during the expedition in the Dakotas?,The Sioux were rebellious against Gen. Sibley and were encountered by the expedition in the Dakotas.,The Sioux were rebellious against Gen. Sibley. The Sioux were encountered by Gen. Sibley's expedition in the Dakotas.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-0955a900,"What role did the Second Minnesota play in the Civil War, specifically regarding its division and involvement at Mill Springs?",The Second Minnesota was part of the First Division and fought at Mill Springs.,The Second Minnesota was part of the First Division. The Second Minnesota fought at Mill Springs.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-3f8a738d,"What was George W. Moore's official role in St. Paul, and who appointed him to this position?",George W. Moore was collector of the port of St. Paul and was appointed by President Lincoln.,George W. Moore was the collector of the port of St. Paul. George W. Moore was appointed by President Lincoln.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-f4972c91,How did Gen. Buell support Gen. Grant during the Civil War?,Gen. Grant was reinforced by Gen. Buell and could have been assisted by him.,Gen. Grant was reinforced by Gen. Buell. Gen. Grant could have been assisted by Gen. Buell.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-a0cd1d28,"What was the historical relationship between the Sioux and the Chippewas, and where did they fight?",The Sioux were hereditary enemies of the Chippewas and fought a battle near Shakopee.,The Sioux were hereditary enemies of the Chippewas. The Sioux fought a battle near Shakopee.,Novel-10146,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
